id,catergory,name-en,name-zh-hk,address-en,address-zh-hk,phone-number,fax-number,url-en,locations_Id
802,food-courts, Silvercord , 新港中心 ," B/F, 30 Canton Road, Tsimshatsui ", 尖沙咀廣東道30號 ,,,,0
799,food-courts, Plaza Hollywood , 荷里活廣場 ," L3, 3 Lung Poon Street, Diamon Hill ", 鑽石山龍蟠街3號 ,21188811,21188078,www.plazahollywood.com,1
797,food-courts, Olympian City , 奧海城 ," G/F, 11 Hoi Fai Road,Yai Kok Tsui ", 大角咀海輝道11-18號 ,22714168,,www.olympiancity.com.hk,2
788,food-courts, Metropolis , 都會商場 ," 6 Metropolis Drive, Hung Hom ", 紅磡都會道 ,21210619,21210608,www.fortunemalls.com.hk/eng/,3
795,arts-and-performance-centres, Ko Shan Theatre , 高山劇場 ," 77 Ko Shan Road Park, Hung Hum, Kowloon, ", 紅磡高山道77號 ,27409222,27814783,www.lcsd.gov.hk/kst,4
794,arts-and-performance-centres, Hong Kong Cultural Centre , 香港體育館 ," 10 Salisbury Road, Tsim Sha Tsui, Kowloon ", 紅磡暢運道9號 ,23557234,23632549,www.lcsd.gov.hk/CE/Entertainment/Stadia/HKC/index.php,5
793,arts-and-performance-centres, Hong Kong Cultural Centre , 香港文化中心 ," 10 Salisbury Road, Tsim Sha Tsui, Kowloon ", 尖沙咀梳士巴利道10號 ,27342009,27390066,www.lcsd.gov.hk/CE/CulturalService/HKCC/index.html,6
792,hong-kong-convention-and-exhibition-centres, Kowloonbay International Trade & Exhibition Centre , 九龍灣國際展貿中心 ," 1 Trademart Driver, Kowloon Bay, Kowloon ", 展貿徑1號 ,26202222,,www.kitec.com.hk/eng/index.php,7
786,food-courts, Harbour City , 海港城 ," L3, 3 - 27 Canton Road, Tsim Sha Tsui ", 尖沙咀廣東道 ,21188666,,www.harbourcity.com.hk,8
783,food-courts, Grand Century Place , 新世紀廣場 ," L5, 193 Prince Road West, Mongkok ", 旺角太子道西193號 ,23970790,23810365,www.grandcenturyplace.com.hk,9
784,shopping-malls, Wong Tai Sin Shopping Centre , 黃大仙中心 ," 103 Ching Tak Street, Wong Tai Sin ", 黃大仙正德街103號 ,23207582,23222739,www.thelinkreit.com/tc/prop/prop_detail.asp?pid=19,10
782,shopping-malls, Whampoa World , 黃埔新天地 ," Whampoa Garden, Hung Hom ", 紅磡黃埔花園 ,21218344,,www.whampoaworld.com,11
780,food-courts, Festival Walk , 又一城 ," L2, 80 Tat Chee Avenue, Kowloon Tong ", 九龍塘達之路80號 ,28442222,22658112,www.festivalwalk.com,12
781,shopping-malls, Tsim Sha Tsui Centre , 尖沙咀中心 ," 66 & 68 Mody Road, Tsim Sha Tsui ", 尖東麼地道66及68號 ,27215489,,www.tsimshatsuicentre.com.hk/index_en.asp,13
779,shopping-malls, Telford Plaza Phase II , 德福廣場二期 ," 33 Wai Yim Street, Kowloon Bay, ", 九龍灣偉業街33號 ,27500877,27516725,www.telford-plaza.com,14
770,food-courts, Dragon Center , 西九龍中心 ," L8, 37K Yen Chow Street, Sham Shui Po ", 深水埗欽州街37號K ,23603565,23605307,www.dragoncentre.com.hk,15
778,shopping-malls, Telford Plaza Phase I , 德福廣場一期 ," 33 Wai Yim Street, Kowloon Bay, ", 九龍灣偉業街33號 ,27500877,27516725,www.telford-plaza.com,16
