id,catergory,name-en,name-zh-hk,address-en,address-zh-hk,phone-number,fax-number,url-en,locations_Id
784,shopping-malls, Wong Tai Sin Shopping Centre , 黃大仙中心 ," 103 Ching Tak Street, Wong Tai Sin ", 黃大仙正德街103號 ,23207582,23222739,www.thelinkreit.com/tc/prop/prop_detail.asp?pid=19,10
782,shopping-malls, Whampoa World , 黃埔新天地 ," Whampoa Garden, Hung Hom ", 紅磡黃埔花園 ,21218344,,www.whampoaworld.com,11
781,shopping-malls, Tsim Sha Tsui Centre , 尖沙咀中心 ," 66 & 68 Mody Road, Tsim Sha Tsui ", 尖東麼地道66及68號 ,27215489,,www.tsimshatsuicentre.com.hk/index_en.asp,13
779,shopping-malls, Telford Plaza Phase II , 德福廣場二期 ," 33 Wai Yim Street, Kowloon Bay, ", 九龍灣偉業街33號 ,27500877,27516725,www.telford-plaza.com,14
778,shopping-malls, Telford Plaza Phase I , 德福廣場一期 ," 33 Wai Yim Street, Kowloon Bay, ", 九龍灣偉業街33號 ,27500877,27516725,www.telford-plaza.com,16
777,shopping-malls," Sun Arcade, The ", 新太陽廣場 ," 28 Canton Road, Tsim Sha Tsui ", 尖沙咀廣東道28號 ,27358702,,www.thesunarcade.com.hk,17
776,shopping-malls, Silvercord , 新港中心 ," 30 Canton Road, Tsim Sha Tsui ", 尖沙咀廣東道30號	,,,,18
775,shopping-malls, Plaza Hollywood , 荷里活廣場 ," 3 Lung Poon Street, Diamond Hill ", 鑽石山龍蟠街3號 ,21188811,21188078,www.plazahollywood.com,19
774,shopping-malls, Pioneer Centre , 始創中心 ," 750-758 Nathan Road, Mong Kok ", 旺角彌敦道750－758號 ,97277000,,www.bighongkong.com/travel/mongkok,20
773,shopping-malls, Park Lane , 栢麗購物大道 ," 111-181 Nathan Rd, Tsim Sha Tsui ", 尖沙咀彌敦道 ,,,,21
772,shopping-malls, Olympian City , 奧海城 ," 11 Hoi Fai Road, West Kowloon ", 大角咀海輝道11-18號 ,22714168,,www.olympiancity.com.hk,22
